Country;ISO;Conflicts intencity;Hospital beds;High-technology exports;GDP per capita;Population
Albania;ALB;0;2,6;15123662;3266790;11926892453
Algeria;DZA;3; ;2449466;26554329;1,5608E+11
Angola;AGO;3; ; ;12553446;89633156470
Argentina;ARG;1;4,7;1442450760;33193918;5,45866E+11
Armenia;ARM;3;3,9;16565073;3505251;10547331235
Australia;AUS;0; ;4237456601;17284000;1,20462E+12
Austria;AUT;0;7,6;15947437007;7754891;3,86428E+11
Azerbaijan;AZE;3;4,7;9446115;7271000;37847715736
Bangladesh;BGD;3;0,6;39378724;108727432;2,21415E+11
Barbados;BRB;0;6,2;38201403;261275;4587550000
Belarus;BLR;1;11,3;603623200;10194000;47433442293
Belgium;BEL;0;6,5;38855955864;10004486;4,66366E+11
Belize;BLZ;0;1,1;0;191126;1765256400
Benin;BEN;0; ;1523076;5149499;8583031398
Bhutan;BTN;0;1,8;58575;537284;2236933238
Bolivia, Plurinational State of;BOL;3;1,1;24935819;6992521;33806395514
Bosnia and Herzegovina;BIH;2; ;93494459;4371603;16559695719
Botswana;BWA;0; ;35802081;1416731;15274861068
Brazil;BRA;4;2,3;8848309553;151976577;1,79619E+12
Bulgaria;BGR;1;6,4;1107680340;8632367;52395164027
Burkina faso;BFA;3; ;5393895;9050084;12115155932
Cambodia;KHM;3;0,7;60108587;9286976;20016747754
Cameroon;CMR;3; ;13383768;12060729;24204448567
Canada;CAN;0; ;23974347367;28171682;1,52976E+12
Cape verde;CPV;0; ;0;349934;1617467436
Central african republic;CAF;4;1;1325;3014624;1756124677
Chile;CHL;3;2,1;603418608;13457244;2,47028E+11
China;CHN;3;3,8;5,54273E+11;1150780000;1,11991E+13
Colombia;COL;4;1,5;793475743;34916766;2,82463E+11
Congo, Republic of the;COG;3; ;47798389;2507772;7833509443
Costa Rica;CRI;0;1,2;861602448;3175649;57435507212
Cote d`Ivoire;CIV;3; ;37577573;12710008;36164644633
Croatia;HRV;1;5,89;762004793;4510000;50425333970
Cyprus;CYP;2;3,5;26759530;783129;19801664168
Czech Republic;CZE;0;6,8;20289085520;10308578;1,92925E+11
Denmark;DNK;0; ;9210426870;5154298;3,06143E+11
Dominican Republic;DOM;3;1,7;185791798;7325622;71583553488
Ecuador;ECU;3;1,6;97006477;10460990;97802211000
Egypt;EGY;4;0,5;88390406;58752390;3,36297E+11
El Salvador;SLV;4;1,1;191387030;5326657;26797470000
Estonia;EST;1;5,3;954880228;1561314;23136741984
Ethiopia;ETH;3;6,3;11843145;49821083;72374252815
Fiji;FJI;2; ;3022421;735473;4631626234
Finland;FIN;0;5,5;3632887080;5013740;2,36785E+11
France;FRA;3;6,4;1,0434E+11;58559312;2,46545E+12
Gambia;GMB;3;1,1;0;949493;964599177,5
Georgia;GEO;3;2,6;34742057;4835900;14332880086
Germany;DEU;3;8,2;1,85556E+11;80013896;3,46676E+12
Ghana;GHA;0;0,9;59681162;15039514;42689783734
Greece;GRC;3; ;1188070445;10319927;1,94559E+11
Guatemala;GTM;3;0,6;228466451;9483270;68763255964
Guinea;GIN;3;0,3;2448491;6374329;6298927773
Guyana;GUY;0; ;105777;744289;3446266344
Honduras;HND;3;0,7;41817226;5099951;21516915353
Hungary;HUN;2;7,2;11789798880;10373400;1,24343E+11
Iceland;ISL;0;3,2;135960043;257797;20047413006
India;IND;4;0,7;13750546786;888054875;2,26352E+12
Indonesia;IDN;3;0,9;4409587991;184615979;9,32259E+11
Iran;IRN;3;0,1;652571090;57375584;3,93436E+11
Ireland;IRL;0;2,9;33778777838;3534235;2,94054E+11
Israel;ISR;3;3,3;11818252000;4949000;3,18744E+11
Italy;ITA;0;3,4;26927145887;56758521;1,84997E+12
Jamaica;JAM;3;1,7;509846;2443689;14027151473
Japan;JPN;2; ;94405075993;123921000;4,93938E+12
Jordan;JOR;2;1,8;85510786;3753433;38654727746
Kazakhstan;KAZ;3;7,2;2844361044;16450500;1,33657E+11
Kenya;KEN;3; ;72063129;24179598;70529014778
Korea, Republic of;KOR;0; ;1,26541E+11;43295704;1,41125E+12
Kyrgyzstan;KGZ;3;4,8;42363668;4463600;6551287938
Laos;LAO;1;1,5; ;4380073;15903437790
Latvia;LVA;1;5,9;1036825314;2650581;27677391316
Lebanon;LBN;3;3,5;38146559;2752462;47536798648
Lesotho;LSO;0; ;18372;1634517;2199709489
Lithuania;LTU;0;7;1813737386;3704134;42738875963
Luxembourg;LUX;0; ;673934496;387000;59947781147
Macedonia, the former Yugoslav Republic of;MKD;3;4,5;77379012;1993302;10899583155
Madagascar;MDG;0; ;1139363;11942819;9990653078
Malawi;MWI;0;1,3;3577452;9641153;5441852138
Malaysia;MYS;2;1,9;57257697127;18529454;2,96359E+11
Mali;MLI;3; ;2187956;8652514;14045098238
Malta;MLT;0;4,8;621282492;363845;10949092472
Mauritius;MUS;0;3,4;673785;1070266;12164207330
Mexico;MEX;5;1,5;45780911356;87071512;1,046E+12
Moldova, Republic of;MDA;3;6,2;17928258;3704000;6749515655
Mongolia;MNG;0;6,8;3051815;2217918;11160356498
Montenegro;MNE;0;4;2778804;607105;4173255531
Morocco;MAR;3;0,9;538711364;25336862;1,01445E+11
Mozambique;MOZ;3;0,7;31240449;13591970;11014858592
Namibia;NAM;0; ;83161368;1465740;10267157280
Nepal;NPL;3; ;2792696;19245054;21143873417
Netherlands;NLD;0; ;59127953689;15069798;7,70845E+11
New Zealand;NZL;0;2,3;585613637;3495100;1,85017E+11
Nicaragua;NIC;3;0,9;9962232;4236801;13230844687
Niger;NER;3; ;10668321;8272976;7508986509
Nigeria;NGA;5; ;139618952;97726323;4,05083E+11
Norway;NOR;0;3,3;3908204711;4261732;3,70557E+11
Oman;OMN;1;1,7;204251051;1893771;66293368010
Pakistan;PAK;4;0,6;259422148;110730420;2,8366E+11
Panama;PAN;0;2,2;457;2523181;55187700000
Paraguay;PRY;3;1,3;57757834;4323410;27440632934
Peru;PER;3;1,5;195064245;22283128;1,92094E+11
Philippines;PHL;4;1;26192288870;63508459;3,04905E+11
Poland;POL;0;6,5;13318845914;38246193;4,69509E+11
Portugal;PRT;0;3,4;2249001136;9960235;2,04565E+11
Romania;ROU;1;6,1;3536097090;23001155;1,86691E+11
Russian Federation;RUS;3; ;9677335778;148624000;1,28316E+12
Rwanda;RWA;2; ;7610522;7051759;8376048905
Saudi arabia;SAU;3;2,1;276022477;16867829;6,46438E+11
Senegal;SEN;3; ;17541318;7789653;14765462631
Serbia;SRB;3; ;292333396;7595636;37745114708
Seychelles;SYC;0;3,6;1229820;70439;1427323889
Sierra leone;SLE;3; ;35094;4337239;3668876080
Singapore;SGP;1;2;1,30989E+11;3135083;2,96966E+11
Slovakia;SVK;0;6;6878304957;5303294;89551834323
Slovenia;SVN;1;4,6;1427285488;1999429;43990635176
South Africa;ZAF;3; ;1906053525;37692367;2,94841E+11
Spain;ESP;3;3,1;14240904065;38966376;1,23209E+12
Sri Lanka;LKA;3;3,6;59295119;17306000;81321876307
Swaziland;SWZ;3;2,1; ;885623;3727303664
Sweden;SWE;3;2,7;14945654831;8617375;5,11E+11
Switzerland;CHE;0;5;54886911951;6799978;6,59827E+11
Tajikistan;TJK;3;5,5; ;5400714;6951657159
Tanzania, United Republic of;TZA;3; ;8771922;26315013;47431038892
Thailand;THA;2; ;34543515383;57258401;4,0684E+11
Togo;TGO;3;0,7;1192704;3882271;4399995987
Tunisia;TUN;3;2,1;681454561;8417684;42062549395
Turkey;TUR;5;2,5;2183683333;54840531;8,57749E+11
Uganda;UGA;3; ;7695449;18040438;25527910091
Ukraine;UKR;5;9;1386828856;52000470;93270479389
United Kingdom;GBR;3;2,9;69095920693;57424897;2,61889E+12
United States;USA;3;2,9;1,53526E+11;252981000;1,85691E+13
Uruguay;URY;0;2,5;266119238;3132050;52419720714
Venezuela, Bolivarian Republic of;VEN;3;0,9;18092984;20332079;3,71006E+11
Viet Nam;VNM;3; ;38735943417;67242400;2,02616E+11
Yemen;YEM;5;0,7;2946931;12661614;27317605346
Zambia;ZMB;0; ;36503179;8239732;19551093303
