Country Name;Region;GDP per capita;Populatiion;CO2 emission;Area
Afghanistan;South Asia;561,7787463;34656032;9809,225;652860
Albania;Europe & Central Asia;4124,98239;2876101;5716,853;28750
Algeria;Middle East & North Africa;3916,881571;40606052;145400,217;2381740
American Samoa;East Asia & Pacific;11834,74523;55599;;200
Andorra;Europe & Central Asia;36988,62203;77281;462,042;470
Angola;Sub-Saharan Africa;3308,700233;28813463;34763,16;1246700
Antigua and Barbuda;Latin America & Caribbean;14462,17628;100963;531,715;440
Argentina;Latin America & Caribbean;12440,32098;43847430;204024,546;2780400
Armenia;Europe & Central Asia;3614,688357;2924816;5529,836;29740
Aruba;Latin America & Caribbean;;104822;872,746;180
Australia;East Asia & Pacific;49755,31548;24127159;361261,839;7741220
Austria;Europe & Central Asia;44757,6349;8747358;58712,337;83879
Azerbaijan;Europe & Central Asia;3878,709257;9762274;37487,741;86600
Bahamas, The;Latin America & Caribbean;28785,47767;391232;2416,553;13880
Bahrain;Middle East & North Africa;22579,09342;1425171;31338,182;771
Bangladesh;South Asia;1358,779029;162951560;73189,653;147630
Barbados;Latin America & Caribbean;15891,62655;284996;1272,449;430
Belarus;Europe & Central Asia;4989,427763;9507120;63497,772;207600
Belgium;Europe & Central Asia;41271,48215;11348159;93350,819;30530
Belize;Latin America & Caribbean;4744,736397;366954;495,045;22970
Benin;Sub-Saharan Africa;789,4404107;10872298;6318,241;114760
Bermuda;North America;;65331;575,719;50
Bhutan;South Asia;2773,547135;797765;1001,091;38394
Bolivia;Latin America & Caribbean;3104,956089;10887882;20410,522;1098580
Bosnia and Herzegovina;Europe & Central Asia;4808,405425;3516816;22233,021;51210
Botswana;Sub-Saharan Africa;6924,149775;2250260;7033,306;581730
Brazil;Latin America & Caribbean;8649,948492;207652865;529808,16;8515770
British Virgin Islands;Latin America & Caribbean;;30661;179,683;150
Brunei Darussalam;East Asia & Pacific;26939,41751;423196;9108,828;5770
Bulgaria;Europe & Central Asia;7469,025247;7127822;42416,189;111000
Burkina Faso;Sub-Saharan Africa;627,1030788;18646433;2849,259;274220
Burundi;Sub-Saharan Africa;285,7274421;10524117;440,04;27830
Cabo Verde;Sub-Saharan Africa;2997,75268;539560;491,378;4030
Cambodia;East Asia & Pacific;1269,907238;15762370;6684,941;181040
Cameroon;Sub-Saharan Africa;1374,514172;23439189;7003,97;475440
Canada;North America;42183,2951;36286425;537193,498;9984670
Cayman Islands;Latin America & Caribbean;;60765;542,716;264
Central African Republic;Sub-Saharan Africa;382,2131743;4594621;300,694;622980
Chad;Sub-Saharan Africa;664,2956519;14452543;729,733;1284000
Channel Islands;Europe & Central Asia;;164541;;190
Chile;Latin America & Caribbean;13792,92605;17909754;82562,505;756096
China;East Asia & Pacific;8123,180873;1378665000;10291926,88;9562911
Colombia;Latin America & Caribbean;5805,605385;48653419;84091,644;1141749
Comoros;Sub-Saharan Africa;775,0800846;795601;154,014;1861
